Country,Code,Year,Internet_Users_Percent,Region,IncomeGroup
Israel,ISR,1993,0.399,Middle East & North Africa,High income
Italy,ITA,1993,0.122,Europe & Central Asia,High income
Japan,JPN,1993,0.401,East Asia & Pacific,High income
"Korea, Rep.",KOR,1993,0.25,East Asia & Pacific,High income
Kuwait,KWT,1993,0.0911,Middle East & North Africa,High income
Luxembourg,LUX,1993,0.302,Europe & Central Asia,High income
Maldives,MDV,1993,0.0,South Asia,Upper middle income
Mexico,MEX,1993,0.0283,Latin America & Caribbean,Upper middle income
Marshall Islands,MHL,1993,0.0,East Asia & Pacific,Upper middle income
Malaysia,MYS,1993,0.0255,East Asia & Pacific,Upper middle income
Netherlands,NLD,1993,1.97,Europe & Central Asia,High income
Norway,NOR,1993,2.78,Europe & Central Asia,High income
Nepal,NPL,1993,0.0,South Asia,Lower middle income
New Zealand,NZL,1993,0.631,East Asia & Pacific,High income
Poland,POL,1993,0.13,Europe & Central Asia,High income
Portugal,PRT,1993,0.45,Europe & Central Asia,High income
Romania,ROU,1993,0.0037,Europe & Central Asia,High income
Russian Federation,RUS,1993,0.0134,Europe & Central Asia,High income
Singapore,SGP,1993,0.763,East Asia & Pacific,High income
Sierra Leone,SLE,1993,0.0,Sub-Saharan Africa,Low income
Slovak Republic,SVK,1993,0.128,Europe & Central Asia,High income
Slovenia,SVN,1993,0.41,Europe & Central Asia,High income
Sweden,SWE,1993,1.72,Europe & Central Asia,High income
Syrian Arab Republic,SYR,1993,0.0,Middle East & North Africa,Low income
Togo,TGO,1993,0.0,Sub-Saharan Africa,Low income
Thailand,THA,1993,0.0136,East Asia & Pacific,Upper middle income
Turkiye,TUR,1993,0.00846,Europe & Central Asia,Upper middle income
Ukraine,UKR,1993,0.000777,Europe & Central Asia,Upper middle income
United States,USA,1993,2.27,North America,High income
"Venezuela, RB",VEN,1993,0.0416,Latin America & Caribbean,
South Africa,ZAF,1993,0.114,Sub-Saharan Africa,Upper middle income
Argentina,ARG,1994,0.0437,Latin America & Caribbean,Upper middle income
Armenia,ARM,1994,0.00912,Europe & Central Asia,Upper middle income
Australia,AUS,1994,2.23,East Asia & Pacific,High income
Austria,AUT,1994,1.39,Europe & Central Asia,High income
Azerbaijan,AZE,1994,0.00143,Europe & Central Asia,Upper middle income
Burundi,BDI,1994,0.0,Sub-Saharan Africa,Low income
Belgium,BEL,1994,0.696,Europe & Central Asia,High income
Bulgaria,BGR,1994,0.0195,Europe & Central Asia,High income
Belarus,BLR,1994,0.000486,Europe & Central Asia,Upper middle income
Brazil,BRA,1994,0.0377,Latin America & Caribbean,Upper middle income
Canada,CAN,1994,2.38,North America,High income
